委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202111190057,唐山市玉田县先有车汽车商城,117.726735,39.873794,张掖市明乐县六坝开发区,100.704481,38.684194,钢材,100,2021.11.19,2021.11.27,310
WTD202107070009,三门峡市灵宝市大王镇,111.02412,34.656219,长治市上党区上党区,113.051416,36.053104,重介粉,10000,2021.7.7,2021.12.31,80
WTD202111150041,焦作市沁阳市济源,112.765732,35.17009,辽源市东辽县辽源方大锻造有限公司,125.023772,42.913643,圆钢,1000,2021.11.14,2021.12.31,310
WTD202110020011,晋城市高平市扶市村,112.897138,35.881138,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.10.02,2021.12.13,98
WTD202110050013,晋城市高平市换马村,113.008161,35.908124,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.10.05,2021.12.05,89.78
WTD202107060007,德阳市旌阳区德阳鸿鑫物资有限公司,104.357357,31.098383,西宁市城北区青海物通铁合金有限公司,101.491644,36.545842,硅钢片,10000,2021.07.06,2021.12.30,122.46
WTD202111030010,长治市上党区申川村,113.10608,36.021938,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.11.03,2021.12.26,103.4
WTD202111170028,长治市上党区黎都大桥.上党区G55,113.030338,36.048266,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.11.17,2021.12.17,103.4
WTD202108280008,邯郸市磁县磁县S222中晨石化附近,114.093713,36.282657,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,15000,2021.08.19,2021.12.30,56.7
WTD202108220035,邯郸市磁县香水村,114.221168,36.306736,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,15000,2021.08.19,2021.12.30,56.7
WTD202111170010,邯郸市磁县香水村,114.221168,36.306736,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.11.17,2021.12.18,61.1
WTD202111150027,邯郸市磁县钟离村,114.209709,36.318782,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.11.15,2021.12.15,56.4
WTD202111020056,邯郸市峰峰矿区义井镇北羊台二村村西,114.164466,36.463184,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.11.02,2021.12.31,56.4
WTD202110210031,邯郸市峰峰矿区义井镇北羊台二村村西,114.164466,36.463184,濮阳市濮阳县六塔乡S101南500米,115.246643,35.728082,贫瘦煤,10000,2021.10.21,2021.12.31,56.7
WTD202111030043,邢台市内丘县河北邢台市东庞煤矿,114.467646,37.236675,石嘴山市惠农区宁夏兴百干煤炭运销有限公司,106.781802,39.228586,煤,99999,2021.11.03,2021.12.31,367.38
WTD202110070035,鄂尔多斯市乌审旗苏力德苏木昌黄嘎查,108.578982,38.04474,鄂尔多斯市乌审旗乌审旗苏力德苏木宝日呼岱嘎查,108.418725,38.068271,土,100000,2021.10.07,2021.12.04,65
WTD202109170046,鄂尔多斯市乌审旗乌审旗嘎鲁图镇无定河蒙大工业园区蒙大矿,108.978904,38.085359,白银市白银区中材甘肃水泥有限责任公司,104.123378,36.59756,沫煤,100000,2021.09.17,2021.12.31,169.74
WTD202110200066,榆林市榆阳区榆林市常乐堡矿业有限公司,109.838388,38.383048,朔州市山阴县山阴县北周庄洗煤厂,112.836614,39.639399,煤,15000,2021.10.20,2021.11.30,170
WTD202110140055,榆林市榆阳区榆林市常乐堡矿业有限公司,109.838388,38.383048,鹤壁市淇滨区鹤壁丰鹤发电有限责任公司,114.182131,35.844505,煤,15000,2021.10.14,2022.01.31,260
WTD202108210010,榆林市榆阳区神树畔养殖有限公司.,110.032059,38.517855,包头市土默特右旗蒙鑫煤炭有限责任公司,110.395174,40.524084,煤炭,15000,2021.07.09,2021.12.31,110
WTD202111170057,榆林市榆阳区瑞森煤化工有限公司,109.963662,38.599132,天津市滨海新区天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2021.11.17,2021.12.31,300
WTD202202250080,重庆市重庆市南岸区,106.644254,29.50109,重庆市重庆市巴南区天鹿大道,106.632228,29.455086,土石方,100000,2022-02-25T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,800
WTD202202110166,中储物流有限公司,116.323641,39.946966,冠县清水南街259号,115.538934,36.61709,圆钢,10000,2022-02-11T00:00:00.000+08:00,2022-03-12T23:59:59.000+08:00,170
WTD202201260017,济源,112.602347,35.069057,辽源方大锻造有限公司,125.023772,42.913643,圆钢,1000,2022-01-26T09:29:00.000+08:00,2022-12-27T00:00:00.000+08:00,340
WTD202202210161,店张村,116.381374,40.067175,内蒙古晟裕顺新能源有限公司,116.349243,39.940583,木片,200000,2022-02-01T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,140
WTD202201070192,磁县冀龙炉料有限公司,114.199661,36.309073,六塔乡S101南500米,115.263243,35.842392,贫瘦煤,10000,2022-01-07T14:13:00.000+08:00,2022-03-08T00:00:00.000+08:00,56.4
WTD202201060009,南神岗村,114.214193,36.335639,六塔乡S101南500米,115.263243,35.842392,贫瘦煤,10000,2022-01-06T08:25:00.000+08:00,2022-03-21T00:00:00.000+08:00,56.4
WTD202202100081,滨河路,116.112149,39.934274,长清生物科技有限公司,116.276876,40.090985,煤炭,10000,2022-02-10T15:37:00.000+08:00,2022-03-11T00:00:00.000+08:00,56.4
WTD202202130060,万海仓储,113.939071,36.696489,新蒙物流园,116.59566,40.118003,钢材,1000,2022-02-13T20:01:00.000+08:00,2022-12-23T00:00:00.000+08:00,120
WTD202202120053,万海仓储,113.939071,36.696489,店塔镇,110.456197,38.998327,钢材,1000,2022-02-12T17:25:00.000+08:00,2022-12-13T00:00:00.000+08:00,100
WTD202201110148,万海仓储,113.939071,36.696489,包钢稀土华美公司,109.879813,40.589502,钢材,1000,2022-01-11T17:54:00.000+08:00,2022-12-12T00:00:00.000+08:00,120
WTD202202220159,瑞森煤化工有限公司,109.963662,38.599132,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-22T19:00:00.000+08:00,2022-03-31T23:00:00.000+08:00,290
WTD202201200095,神木市天元化工公司,110.1712,38.704946,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,170
WTD202202100004,神木市北海煤电有限公司,110.15917,38.715663,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-02-04T00:00:00.000+08:00,2022-05-01T23:59:59.000+08:00,135
WTD202202090137,神木市北海煤电有限公司,110.15917,38.715663,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2021-12-29T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,130
WTD202202240421,神木市晟通煤化有限责任公司,110.323615,38.84287,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2021-12-29T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,150
WTD202202080078,中国石油渤海装备园区,116.675644,40.091212,包钢耐火门岗,109.769278,40.666474,钢架子,10000,2022-02-08T12:12:00.000+08:00,2022-12-09T00:00:00.000+08:00,6000
WTD202201200091,神木市兴杨金属镁有限公司,110.650382,38.96637,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,170
WTD202202160104,河畔煤矿,116.210256,40.52924,天津琦晟储运有限公司,117.569995,38.949487,煤炭,5000,2022-02-16T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,290
WTD202202250124,神木市兴旺源煤化工有限公司,110.333166,39.116333,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2021-12-29T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,155
