count,loadPlace,loadPlaceLongitude,loadPlaceLatitude,unloadPlace,unloadPlaceLongitude,unloadPlaceLatitude
1,load,116.9478203,33.64639431,unload,110.2132926,22.63358317
2,load,109.425528,24.33477969,unload,106.6361382,26.65407788
3,load,119.3638272,41.20031494,unload,105.7169574,34.56884132
4,load,105.7169574,34.56884132,unload,123.4545661,41.67370405
5,load,125.3656824,41.26968622,unload,104.0777613,30.68036264
6,load,114.9175509,25.80912999,unload,109.8392692,40.65207072
7,load,119.1518775,36.71034857,unload,125.3656824,41.26968622
8,load,100.2780414,25.60889141,unload,110.2001424,25.2220507
9,load,115.9492956,29.63386185,unload,114.4769042,36.07897039
10,load,106.6361382,26.65407788,unload,130.3638882,46.81701402
11,load,114.4845915,36.57773729,unload,109.7272543,38.24476095
12,load,117.958819,28.46469686,unload,109.8392692,40.65207072
13,load,114.5098497,37.06673118,unload,123.4545661,41.67370405
14,load,114.9175509,25.80912999,unload,109.7272543,38.24476095
15,load,113.2985517,40.08311203,unload,112.6964718,36.75831427
16,load,106.557435,29.5675787,unload,112.6964718,36.75831427
17,load,121.1483777,41.07625459,unload,112.4178074,34.64612258
18,load,107.2505727,34.36920541,unload,103.7156984,27.34318152
19,load,110.4891201,38.01908765,unload,112.4178074,34.64612258
20,load,123.8938401,47.3261796,unload,110.4891201,38.01908765
21,load,114.8689562,40.82680705,unload,111.791842,38.0590902
22,load,112.6964718,36.75831427,unload,100.2780414,25.60889141
23,load,107.0428607,27.72844005,unload,122.3014719,43.61220644
24,load,121.1483777,41.07625459,unload,106.557435,29.5675787
25,load,125.1173096,46.57976354,unload,114.2982025,30.58193038
26,load,117.9658377,40.9596313,unload,119.1518775,36.71034857
27,load,114.4845915,36.57773729,unload,111.791842,38.0590902
28,load,123.8938401,47.3261796,unload,108.3937832,30.79162185
29,load,109.425528,24.33477969,unload,119.5834642,39.9070662
30,load,117.2004028,39.08080919,unload,112.3686636,24.77428179
31,load,117.2004028,39.08080919,unload,111.3149552,30.67834977
32,load,104.0777613,30.68036264,unload,111.6721398,40.82992317
33,load,105.9000798,36.97905266,unload,107.0364266,33.06829125
34,load,121.1483777,41.07625459,unload,106.2262407,38.48521073
35,load,110.4542527,35.4679762,unload,100.2780414,25.60889141
36,load,125.1173096,46.57976354,unload,108.9097751,34.34643312
37,load,122.9895763,41.12321835,unload,115.9492956,29.63386185
38,load,113.1264112,23.0172855,unload,114.505457,38.02968504
39,load,100.2780414,25.60889141,unload,109.8392692,40.65207072
40,load,117.2004028,39.08080919,unload,114.505457,38.02968504
41,load,122.1279587,37.51601718,unload,117.958819,28.46469686
42,load,121.4677029,31.25742386,unload,111.3149552,30.67834977
43,load,122.9895763,41.12321835,unload,128.8648657,47.72975322
44,load,102.8258305,24.79410404,unload,128.8648657,47.72975322
45,load,130.9788717,45.32383948,unload,111.3149552,30.67834977
46,load,125.1173096,46.57976354,unload,113.2985517,40.08311203
47,load,110.4542527,35.4679762,unload,112.4178074,34.64612258
48,load,108.9497393,34.90253113,unload,112.741772,38.41275095
49,load,110.2132926,22.63358317,unload,115.4982162,38.86736886
50,load,119.1518775,36.71034857,unload,105.9000798,36.97905266
51,load,115.9492956,29.63386185,unload,112.6964718,36.75831427
52,load,108.3419855,22.82535865,unload,116.9478203,33.64639431
